provider_id,abbreviation,city,state,latitude,longitude,active_from,active_to,slug,display_name,nickname,market,logo_url
22,ARI,Glendale,Arizona,33.5276,-112.2626,2000,,,,,,
1,ATL,Atlanta,Georgia,33.7553,-84.4006,2000,,,,,,
33,BAL,Baltimore,Maryland,39.2779,-76.6227,2000,,,,,,
2,BUF,Orchard Park,New York,42.7738,-78.7868,2000,,,,,,
29,CAR,Charlotte,North Carolina,35.2258,-80.8528,2000,,,,,,
3,CHI,Chicago,Illinois,41.8623,-87.6167,2000,,,,,,
4,CIN,Cincinnati,Ohio,39.0954,-84.5160,2000,,,,,,
5,CLE,Cleveland,Ohio,41.5061,-81.6995,2000,,,,,,
6,DAL,Arlington,Texas,32.7473,-97.0945,2000,,,,,,
7,DEN,Denver,Colorado,39.7439,-105.0201,2000,,,,,,
8,DET,Detroit,Michigan,42.3400,-83.0456,2000,,,,,,
9,GB,Green Bay,Wisconsin,44.5013,-88.0622,2000,,,,,,
34,HOU,Houston,Texas,29.6847,-95.4107,2002,,,,,,
11,IND,Indianapolis,Indiana,39.7601,-86.1639,2000,,,,,,
30,JAX,Jacksonville,Florida,30.3239,-81.6373,2000,,,,,,
12,KC,Kansas City,Missouri,39.0489,-94.4839,2000,,,,,,
13,OAK,Oakland,California,37.7516,-122.2005,2000,2019,oakland-raiders,Oakland Raiders,Raiders,Oakland,https://a.espncdn.com/guid/b18540eb-6f2b-534c-e7f9-9bd930518da9/logos/default.png
13,LV,Las Vegas,Nevada,36.0908,-115.1830,2020,,las-vegas-raiders,Las Vegas Raiders,Raiders,Las Vegas,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lv.png
24,SD,San Diego,California,32.7831,-117.1225,2000,2016,san-diego-chargers,San Diego Chargers,Chargers,San Diego,https://a.espncdn.com/guid/84caf62b-c753-71ea-a787-44fd224a4294/logos/default.png
24,LAC,El Segundo,California,33.9170,-118.4130,2017,,los-angeles-chargers,Los Angeles Chargers,Chargers,Los Angeles,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lac.png
14,STL,St. Louis,Missouri,38.6327,-90.1886,2000,2015,st-louis-rams,St. Louis Rams,Rams,St. Louis,https://a.espncdn.com/guid/2e1473b2-e269-fd7a-1137-c1edacb85986/logos/default.png
14,LAR,Woodland Hills,California,34.1780,-118.6010,2016,,los-angeles-rams,Los Angeles Rams,Rams,Los Angeles,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lar.png
15,MIA,Miami Gardens,Florida,25.9580,-80.2389,2000,,,,,,
16,MIN,Minneapolis,Minnesota,44.9737,-93.2578,2000,,,,,,
17,NE,Foxborough,Massachusetts,42.0909,-71.2643,2000,,,,,,
18,NO,New Orleans,Louisiana,29.9511,-90.0812,2000,,,,,,
19,NYG,East Rutherford,New Jersey,40.8135,-74.0745,2000,,,,,,
20,NYJ,Florham Park,New Jersey,40.7815,-74.4287,2000,,,,,,
21,PHI,Philadelphia,Pennsylvania,39.9008,-75.1675,2000,,,,,,
23,PIT,Pittsburgh,Pennsylvania,40.4468,-80.0158,2000,,,,,,
25,SF,Santa Clara,California,37.4030,-121.9700,2000,,,,,,
26,SEA,Seattle,Washington,47.5952,-122.3316,2000,,,,,,
27,TB,Tampa,Florida,27.9759,-82.5033,2000,,,,,,
10,TEN,Nashville,Tennessee,36.1665,-86.7713,2000,,,,,,
28,WSH,Landover,Maryland,38.9076,-76.8645,2000,2019,washington-redskins,Washington Redskins,Redskins,Washington,https://a.espncdn.com/guid/fbeaf73e-6d6c-cca4-0809-713d9d741f90/logos/default.png
28,WSH,Landover,Maryland,38.9076,-76.8645,2020,2021,washington-football-team,Washington Football Team,Football Team,Washington,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/wsh.png
28,WSH,Landover,Maryland,38.9076,-76.8645,2022,,washington-commanders,Washington Commanders,Commanders,Washington,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/wsh.png
